Driver,LapNumber,LapTimeSeconds,Sector1TimeSeconds,Sector2TimeSeconds,Sector3TimeSeconds,Compound,TyreLife,Stint,Team,TrackStatus,PitOutTime,PitInTime
NOR,1.0,,,37.116,32.914,SOFT,1.0,1.0,McLaren,1,0 days 00:14:16.306000,
NOR,2.0,79.911,26.484,26.898,26.529,SOFT,2.0,1.0,McLaren,1,,
NOR,3.0,111.021,32.371,38.291,40.359,SOFT,3.0,1.0,McLaren,1,,0 days 00:19:18.770000
NOR,4.0,,,39.008,31.591,SOFT,1.0,2.0,McLaren,12,0 days 00:41:40.139000,
NOR,5.0,79.727,26.395,26.865,26.467,SOFT,2.0,2.0,McLaren,1,,
NOR,6.0,109.446,31.98,37.478,39.988,SOFT,3.0,2.0,McLaren,1,,0 days 00:46:34.663000
NOR,7.0,,,36.182,31.355,SOFT,1.0,3.0,McLaren,1,0 days 01:03:43.411000,
NOR,8.0,79.401,26.4,26.748,26.253,SOFT,2.0,3.0,McLaren,1,,
NOR,9.0,107.128,30.949,34.968,41.211,SOFT,3.0,3.0,McLaren,1,,0 days 01:08:48.763000
NOR,10.0,,,35.668,30.242,SOFT,1.0,4.0,McLaren,1,0 days 01:11:57.071000,
NOR,11.0,79.327,26.492,26.579,26.256,SOFT,2.0,4.0,McLaren,1,,
NOR,12.0,,33.633,38.149,,SOFT,3.0,4.0,McLaren,1,,0 days 01:17:01.169000
PIA,1.0,,,36.502,31.998,SOFT,1.0,1.0,McLaren,1,0 days 00:14:20.318000,
PIA,2.0,110.311,35.502,41.647,33.162,SOFT,2.0,1.0,McLaren,1,,
PIA,3.0,80.488,26.735,26.969,26.784,SOFT,3.0,1.0,McLaren,1,,
PIA,4.0,110.151,35.141,34.52,40.49,SOFT,4.0,1.0,McLaren,1,,0 days 00:21:18.741000
PIA,5.0,,,38.791,32.482,SOFT,5.0,2.0,McLaren,1,0 days 00:25:52.790000,
PIA,6.0,80.076,26.529,26.915,26.632,SOFT,6.0,2.0,McLaren,12,,
PIA,7.0,110.213,33.981,36.853,39.379,SOFT,7.0,2.0,McLaren,1,,0 days 00:30:57.191000
PIA,8.0,,,36.598,33.197,SOFT,1.0,3.0,McLaren,1,0 days 00:41:28.981000,
PIA,9.0,79.808,26.434,26.822,26.552,SOFT,2.0,3.0,McLaren,1,,
PIA,10.0,112.538,35.569,36.442,40.527,SOFT,3.0,3.0,McLaren,1,,0 days 00:46:25.679000
PIA,11.0,,,36.614,32.091,SOFT,4.0,4.0,McLaren,1,0 days 00:50:36.759000,
PIA,12.0,79.845,26.399,26.847,26.599,SOFT,5.0,4.0,McLaren,1,,
PIA,13.0,113.795,38.419,36.985,38.391,SOFT,6.0,4.0,McLaren,1,,0 days 00:55:28.517000
PIA,14.0,,,34.881,31.082,SOFT,1.0,5.0,McLaren,1,0 days 01:03:31.114000,
PIA,15.0,79.436,26.407,26.643,26.386,SOFT,2.0,5.0,McLaren,1,,
PIA,16.0,105.672,33.304,34.94,37.428,SOFT,3.0,5.0,McLaren,1,,0 days 01:08:36.311000
PIA,17.0,,,35.997,30.212,SOFT,1.0,6.0,McLaren,1,0 days 01:12:03.721000,
PIA,18.0,79.661,26.439,26.796,26.426,SOFT,2.0,6.0,McLaren,1,,
PIA,19.0,,34.889,36.572,,SOFT,3.0,6.0,McLaren,1,,0 days 01:17:11.568000
RUS,1.0,,,37.189,34.163,SOFT,1.0,1.0,Mercedes,1,0 days 00:17:29.247000,
RUS,2.0,80.32,26.615,27.078,26.627,SOFT,2.0,1.0,Mercedes,1,,
RUS,3.0,113.613,35.434,37.322,40.857,SOFT,3.0,1.0,Mercedes,1,,0 days 00:22:29.413000
RUS,4.0,,,38.477,32.905,SOFT,4.0,2.0,Mercedes,1,0 days 00:26:06.735000,
RUS,5.0,80.169,26.437,27.055,26.677,SOFT,5.0,2.0,Mercedes,12,,
RUS,6.0,111.786,33.104,36.903,41.779,SOFT,6.0,2.0,Mercedes,1,,0 days 00:31:14.095000
RUS,7.0,,,34.509,34.173,SOFT,1.0,3.0,Mercedes,1,0 days 00:43:54.940000,
