Date,SessionTime,X,Y,Z,Status,Speed,RPM,Throttle,Brake,DRS,nGear,Distance,RelativeDistance,DriverAhead,DistanceToDriverAhead,Source,Time,TimeSeconds,SessionTimeSeconds,DRSActive
2024-08-31 15:03:38.555,0 days 01:14:40.786000,-1354.9184127498945,-456.3414201700844,1872.8607371838293,OnTrack,321.66000128,11481.680018773333,100.0,0,8,8,10.763731454757302,0.0018650768392634617,,351.96083333333337,interpolation,0 days 00:00:00,0.0,4480.786,0
2024-08-31 15:03:38.589,0 days 01:14:40.820000,-1353.0,-433.0,1873.0,OnTrack,322.0,11486.666666666666,100.0,0,8,8,13.358477816384429,0.002314679410934367,,351.96083333333337,interpolation,0 days 00:00:00.034000,0.034,4480.82,0
2024-08-31 15:03:38.689,0 days 01:14:40.920000,-1348.8874404017129,-381.86445907566906,1873.37689154994,OnTrack,323.0,11501.333333333334,100.0,0,8,8,19.662031884904472,0.00340692263045891,,351.96083333333337,interpolation,0 days 00:00:00.134000,0.134,4480.92,0
2024-08-31 15:03:38.789,0 days 01:14:41.020000,-1347.0298569641109,-356.57470178160565,1873.7045397198558,OnTrack,324.0,11516.0,100.0,0,14,8,26.45194444444445,0.004583439223115545,,351.96083333333337,interpolation,0 days 00:00:00.234000,0.234,4481.02,1
2024-08-31 15:03:38.889,0 days 01:14:41.120000,-1343.9073450444532,-320.24759359673936,1873.9299180298435,OnTrack,324.6666666666667,11552.666666666666,100.0,0,14,8,34.176440755649836,0.005921895057466354,,347.8238888888889,interpolation,0 days 00:00:00.334000,0.334,4481.12,1
2024-08-31 15:03:38.989,0 days 01:14:41.220000,-1336.0,-236.0,1874.0,OnTrack,325.3333333333333,11589.333333333334,100.0,0,12,8,42.77650627514043,0.007412064436363393,1,343.68694444444446,interpolation,0 days 00:00:00.434000,0.434,4481.22,1
2024-08-31 15:03:39.089,0 days 01:14:41.320000,-1324.0,-110.0,1874.0,OnTrack,326.0,11626.0,100.0,0,12,8,51.89805555555556,0.008992593491051346,1,339.55,interpolation,0 days 00:00:00.534000,0.534,4481.32,1
2024-08-31 15:03:39.189,0 days 01:14:41.420000,-1312.060435323738,20.7437428675507,1874.4412068656936,OnTrack,326.6666666666667,11655.666666666666,100.0,0,12,8,61.48207465782085,0.010653256629092878,1,334.39444444444445,interpolation,0 days 00:00:00.634000,0.634,4481.42,1
2024-08-31 15:03:39.289,0 days 01:14:41.520000,-1301.046916445999,147.17887064462067,1875.3085154127841,OnTrack,327.3333333333333,11685.333333333334,100.0,0,12,8,71.41924048656145,0.012375110979789541,1,329.23888888888894,interpolation,0 days 00:00:00.734000,0.734,4481.52,1
2024-08-31 15:03:39.389,0 days 01:14:41.620000,-1292.0,252.0,1876.0,OnTrack,328.0,11715.0,100.0,0,12,8,81.05361111111112,0.014044498737023682,1,324.08333333333337,interpolation,0 days 00:00:00.834000,0.834,4481.62,1
2024-08-31 15:03:39.489,0 days 01:14:41.720000,-1285.09311297922,332.3228856112013,1876.4153391734844,OnTrack,329.0,11734.5,100.0,0,12,8,90.27586231662082,0.01564247683612087,1,318.94444444444446,interpolation,0 days 00:00:00.934000,0.934,4481.72,1
2024-08-31 15:03:39.589,0 days 01:14:41.820000,-1280.3262553836594,388.1475274782247,1876.5545329332376,OnTrack,330.0,11754.0,100.0,0,12,8,99.38694444444447,0.017221192203431594,1,313.80555555555554,interpolation,0 days 00:00:01.034000,1.034,4481.82,1
2024-08-31 15:03:39.689,0 days 01:14:41.920000,-1275.8962700962688,439.89840560613567,1876.666460226372,OnTrack,330.5,11783.5,100.0,0,12,8,108.68780783593601,0.01883279176530634,1,308.5,interpolation,0 days 00:00:01.134000,1.134,4481.92,1
2024-08-31 15:03:39.789,0 days 01:14:42.020000,-1270.0,508.0,1877.0,OnTrack,331.0,11813.0,100.0,0,12,8,117.77583333333335,0.0204075120136771,1,303.19444444444446,interpolation,0 days 00:00:01.234000,1.234,4482.02,1
2024-08-31 15:03:39.889,0 days 01:14:42.120000,-1262.6374450948529,592.452310659818,1877.5551522541223,OnTrack,331.3333333333333,11823.333333333334,100.0,0,12,8,126.24840177887441,0.021875589440475865,1,298.0351851851852,interpolation,0 days 00:00:01.334000,1.334,4482.12,1
2024-08-31 15:03:39.989,0 days 01:14:42.220000,-1254.084886228538,690.3209852611103,1878.295217507488,OnTrack,331.6666666666667,11833.666666666666,100.0,0,12,8,134.35561269747012,0.02328035983807008,1,292.87592592592597,interpolation,0 days 00:00:01.434000,1.434,4482.22,1
2024-08-31 15:03:40.089,0 days 01:14:42.320000,-1246.0,784.0,1879.0,OnTrack,332.0,11844.0,100.0,0,12,8,143.59805555555556,0.024881836629393448,1,287.7166666666667,interpolation,0 days 00:00:01.534000,1.534,4482.32,1
2024-08-31 15:03:40.189,0 days 01:14:42.420000,-1238.6590644278485,870.555032599622,1879.632800626209,OnTrack,333.0,11875.0,100.0,0,12,8,154.22582731703568,0.02672335516305718,1,280.6833333333334,interpolation,0 days 00:00:01.634000,1.634,4482.42,1
2024-08-31 15:03:40.289,0 days 01:14:42.520000,-1232.0,950.0,1880.0,OnTrack,334.0,11906.0,100.0,0,12,8,165.95678427889496,0.028756027217718125,1,273.65000000000003,interpolation,0 days 00:00:01.734000,1.734,4482.52,1
