Date,SessionTime,X,Y,Z,Status,Speed,RPM,Throttle,Brake,DRS,nGear,Distance,RelativeDistance,DriverAhead,DistanceToDriverAhead,Source,Time,TimeSeconds,SessionTimeSeconds,DRSActive
2024-08-31 15:02:50.516,0 days 01:13:52.747000,-1368.1597767073831,-606.8655196717974,1871.472183127722,OnTrack,319.9866666666667,11284.346666666666,99.0,0,8,8,1.2996136172636996,0.0002252838323384832,,1019.8611111111109,interpolation,0 days 00:00:00,0.0,4432.747,0
2024-08-31 15:02:50.568,0 days 01:13:52.799000,-1364.5600244230184,-563.5511624771925,1871.648181441462,OnTrack,320.3333333333333,11301.333333333334,99.0,0,8,8,6.208420844574652,0.0010762097457710012,,1019.8611111111109,interpolation,0 days 00:00:00.052000,0.052,4432.799,0
2024-08-31 15:02:50.668,0 days 01:13:52.899000,-1359.0,-498.0,1872.0,OnTrack,321.0,11334.0,99.0,0,8,8,15.418888888888885,0.0026728146990362884,,1019.8611111111109,interpolation,0 days 00:00:00.152000,0.152,4432.899,0
2024-08-31 15:02:50.768,0 days 01:13:52.999000,-1355.2132844872965,-455.56434171228176,1872.3703037837427,OnTrack,321.5,11356.0,99.0,0,14,8,24.328713866406233,0.004217304145543036,,1019.8611111111109,interpolation,0 days 00:00:00.252000,0.252,4432.999,1
2024-08-31 15:02:50.868,0 days 01:13:53.099000,-1348.0,-374.0,1873.0,OnTrack,322.0,11378.0,99.0,0,14,8,33.30777777777777,0.005773795938099792,,1019.8611111111109,interpolation,0 days 00:00:00.352000,0.352,4433.099,1
2024-08-31 15:02:50.968,0 days 01:13:53.199000,-1334.0,-213.0,1874.0,OnTrack,323.0,11404.333333333334,99.0,0,14,8,42.72596262365454,0.007406407929515101,23,1016.4537037037035,interpolation,0 days 00:00:00.452000,0.452,4433.199,1
2024-08-31 15:02:51.068,0 days 01:13:53.299000,-1324.2517290848264,-104.1882921310548,1874.5903246537678,OnTrack,324.0,11430.666666666666,99.0,0,14,8,52.5073760947409,0.00910198443254775,23,1013.0462962962961,interpolation,0 days 00:00:00.552000,0.552,4433.299,1
2024-08-31 15:02:51.168,0 days 01:13:53.399000,-1319.5916491907703,-57.1754597521053,1874.7352035234428,OnTrack,325.0,11457.0,99.0,0,14,8,62.19666666666666,0.010781591727891787,23,1009.6388888888887,interpolation,0 days 00:00:00.652000,0.652,4433.399,1
2024-08-31 15:02:51.268,0 days 01:13:53.499000,-1314.0,2.0,1875.0,OnTrack,325.75,11478.25,99.0,0,14,8,71.7179428072694,0.012432074263019543,23,1006.722222222222,interpolation,0 days 00:00:00.752000,0.752,4433.499,1
2024-08-31 15:02:51.368,0 days 01:13:53.599000,-1306.4734829893391,85.6650673830432,1875.478941797713,OnTrack,326.5,11499.5,99.0,0,14,8,81.07120451654916,0.014053432037931024,23,1003.8055555555552,interpolation,0 days 00:00:00.852000,0.852,4433.599,1
2024-08-31 15:02:51.468,0 days 01:13:53.699000,-1298.0,182.0,1876.0,OnTrack,327.25,11520.75,99.0,0,14,8,90.09830841199879,0.015618251406911131,23,1000.8888888888886,interpolation,0 days 00:00:00.952000,0.952,4433.699,1
2024-08-31 15:02:51.568,0 days 01:13:53.799000,-1289.5674528731963,279.18505545384613,1876.3911456902783,OnTrack,328.0,11542.0,99.0,0,14,8,98.64111111111112,0.01709911872424477,23,997.9722222222218,interpolation,0 days 00:00:01.052000,1.052,4433.799,1
2024-08-31 15:02:51.668,0 days 01:13:53.899000,-1281.1952676522133,376.87517313653365,1876.6764123356038,OnTrack,328.5,11560.25,99.0,0,14,8,106.69961261388619,0.01849603398993194,23,995.5222222222219,interpolation,0 days 00:00:01.152000,1.152,4433.899,1
2024-08-31 15:02:51.768,0 days 01:13:53.999000,-1273.0,473.0,1877.0,OnTrack,329.0,11578.5,99.0,0,14,8,114.27381292032396,0.019808997203972646,23,993.0722222222219,interpolation,0 days 00:00:01.252000,1.252,4433.999,1
2024-08-31 15:02:51.868,0 days 01:13:54.099000,-1265.0010757609207,567.2144789695997,1877.3859419044204,OnTrack,329.5,11596.75,99.0,0,14,8,122.28166232215531,0.021197132091195774,23,990.6222222222218,interpolation,0 days 00:00:01.352000,1.352,4434.099,1
2024-08-31 15:02:51.968,0 days 01:13:54.199000,-1256.0,673.0,1878.0,OnTrack,330.0,11615.0,99.0,0,14,8,131.64111111111112,0.02281956237643024,23,988.1722222222219,car,0 days 00:00:01.452000,1.452,4434.199,1
2024-08-31 15:02:52.068,0 days 01:13:54.299000,-1244.7982777822629,803.8379530458681,1879.0079362378729,OnTrack,330.6666666666667,11637.0,99.0,0,14,8,142.3521592871913,0.02467628805967602,23,985.172222222222,interpolation,0 days 00:00:01.552000,1.552,4434.299,1
2024-08-31 15:02:52.168,0 days 01:13:54.399000,-1234.0,930.0,1880.0,OnTrack,331.3333333333333,11659.0,99.0,0,14,8,154.08281435142155,0.026709759311135207,23,982.172222222222,interpolation,0 days 00:00:01.652000,1.652,4434.399,1
2024-08-31 15:02:52.268,0 days 01:13:54.499000,-1226.2092575455015,1021.7578027551918,1880.566440668342,OnTrack,332.0,11681.0,99.0,0,14,8,164.8411111111111,0.0285746753840835,23,979.1722222222221,interpolation,0 days 00:00:01.752000,1.752,4434.499,1
2024-08-31 15:02:52.368,0 days 01:13:54.599000,-1221.4260504187682,1079.1113613114442,1880.7072582429,OnTrack,332.5,11709.5,99.0,0,14,8,174.29505366766494,0.030213485859409694,23,976.7833333333332,interpolation,0 days 00:00:01.852000,1.852,4434.599,1
2024-08-31 15:02:52.468,0 days 01:13:54.699000,-1217.4298180826506,1126.1592392119742,1880.7444466960071,OnTrack,333.0,11738.0,99.0,0,14,8,183.3411111111111,0.03178159076485414,23,974.3944444444443,interpolation,0 days 00:00:01.952000,1.952,4434.699,1
2024-08-31 15:02:52.568,0 days 01:13:54.799000,-1212.0,1187.0,1881.0,OnTrack,333.5,11750.5,99.0,0,14,8,192.8757525314776,0.033434390128157174,23,972.1166666666666,interpolation,0 days 00:00:02.052000,2.052,4434.799,1
2024-08-31 15:02:52.668,0 days 01:13:54.899000,-1205.1365961708161,1261.6336436755212,1881.4739181548766,OnTrack,334.0,11763.0,99.0,0,14,8,201.89666666666668,0.03499813652214362,23,969.8388888888887,interpolation,0 days 00:00:02.152000,2.152,4434.899,1
2024-08-31 15:02:52.768,0 days 01:13:54.999000,-1197.0,1353.0,1882.0,OnTrack,334.0,11772.5,99.0,0,14,8,209.40154225458053,0.03629908251963827,23,968.0276388888888,interpolation,0 days 00:00:02.252000,2.252,4434.999,1
2024-08-31 15:02:52.868,0 days 01:13:55.099000,-1187.7506048924529,1464.0388987348986,1882.4120443747322,OnTrack,334.0,11782.0,99.0,0,14,8,216.8338888888889,0.037587455856761647,23,966.2163888888888,interpolation,0 days 00:00:02.352000,2.352,4435.099,1
2024-08-31 15:02:52.968,0 days 01:13:55.199000,-1177.0,1594.0,1883.0,OnTrack,334.6666666666667,11796.0,99.0,0,14,8,225.63721616326146,0.03911348426963424,23,964.0237962962963,interpolation,0 days 00:00:02.452000,2.452,4435.199,1
2024-08-31 15:02:53.068,0 days 01:13:55.299000,-1164.3597744744666,1742.1329639150872,1884.0538155967297,OnTrack,335.3333333333333,11810.0,99.0,0,14,8,235.7386063758462,0.040864527709629055,23,961.8312037037037,interpolation,0 days 00:00:02.552000,2.552,4435.299,1
2024-08-31 15:02:53.168,0 days 01:13:55.399000,-1153.0,1873.0,1885.0,OnTrack,336.0,11824.0,99.0,0,14,8,246.70055555555555,0.042764746273285054,23,959.6386111111112,interpolation,0 days 00:00:02.652000,2.652,4435.399,1
2024-08-31 15:02:53.268,0 days 01:13:55.499000,-1146.0907482607481,1951.1633177745782,1885.2650620448885,OnTrack,336.5,11865.0,99.0,0,14,8,258.45014674721097,0.04480150004140868,23,957.2386111111111,interpolation,0 days 00:00:02.752000,2.752,4435.499,1
2024-08-31 15:02:53.368,0 days 01:13:55.599000,-1142.784931816125,1986.8030160025514,1884.9876880291765,OnTrack,337.0,11906.0,99.0,0,14,8,269.1672222222222,0.046659270537500214,23,954.838611111111,interpolation,0 days 00:00:02.852000,2.852,4435.599,1
2024-08-31 15:02:53.468,0 days 01:13:55.699000,-1138.0,2041.0,1885.0,OnTrack,337.25,11900.5,99.0,0,14,8,277.0316242519992,0.04802253928505998,23,953.3497222222222,interpolation,0 days 00:00:02.952000,2.952,4435.699,1
