Date,SessionTime,X,Y,Z,Status,Speed,RPM,Throttle,Brake,DRS,nGear,Distance,RelativeDistance,DriverAhead,DistanceToDriverAhead,Source,Time,TimeSeconds,SessionTimeSeconds,DRSActive
2024-08-31 14:41:44.295,0 days 00:52:46.526000,-1373.0120233483387,-664.7940067961135,1870.9367193410992,,320.90000128,11361.933359786666,100.0,0,8,8,5.539015613235966,0.0009619618037369511,,609.2066666666666,interpolation,0 days 00:00:00,0.0,3166.526,0
2024-08-31 14:41:44.305,0 days 00:52:46.536000,-1372.0,-653.0,1871.0,,321.0,11364.0,100.0,0,8,8,6.483333333333334,0.00112596162622435,,609.2066666666666,interpolation,0 days 00:00:00.010000,0.01,3166.536,0
2024-08-31 14:41:44.405,0 days 00:52:46.636000,-1360.8512596031455,-525.3384197312696,1871.9540037090442,,322.0,11390.75,100.0,0,8,8,15.444176332189649,0.0026821927864300052,,609.2066666666666,interpolation,0 days 00:00:00.110000,0.11,3166.636,0
2024-08-31 14:41:44.505,0 days 00:52:46.736000,-1350.0,-403.0,1873.0,,323.0,11417.5,100.0,0,8,8,23.53544083047412,0.004087404097386262,,609.2066666666666,interpolation,0 days 00:00:00.210000,0.21,3166.736,0
2024-08-31 14:41:44.605,0 days 00:52:46.836000,-1341.8428622488425,-311.41562152280625,1873.5939789820827,,324.0,11444.25,100.0,0,8,8,31.225651580188202,0.005422964334160972,,609.2066666666666,interpolation,0 days 00:00:00.310000,0.31,3166.836,0
2024-08-31 14:41:44.705,0 days 00:52:46.936000,-1336.3798463496728,-250.58528429968817,1873.7359406552923,,325.0,11471.0,100.0,0,8,8,38.983333333333334,0.00677024227182199,,609.2066666666666,interpolation,0 days 00:00:00.410000,0.41,3166.936,0
2024-08-31 14:41:44.805,0 days 00:52:47.036000,-1331.7269072756665,-198.46230492672598,1873.7599320008555,,325.3333333333333,11497.666666666666,100.0,0,12,8,46.80848608990955,0.008129237910369316,1,609.7511111111111,interpolation,0 days 00:00:00.510000,0.51,3167.036,1
2024-08-31 14:41:44.905,0 days 00:52:47.136000,-1326.0,-133.0,1874.0,,325.6666666666667,11524.333333333334,100.0,0,12,8,54.88751857758771,0.009532324885918745,1,610.2955555555554,interpolation,0 days 00:00:00.610000,0.61,3167.136,1
2024-08-31 14:41:45.005,0 days 00:52:47.236000,-1319.1991245226727,-54.19836951951009,1874.4561446527246,,326.0,11551.0,100.0,0,12,8,64.33888888888889,0.011173746009686542,1,610.8399999999999,car,0 days 00:00:00.710000,0.71,3167.236,1
2024-08-31 14:41:45.105,0 days 00:52:47.336000,-1312.0,29.0,1875.0,,327.0,11565.333333333334,100.0,0,12,8,75.34900766031916,0.013085875249296238,1,611.4066666666666,interpolation,0 days 00:00:00.810000,0.81,3167.336,1
2024-08-31 14:41:45.205,0 days 00:52:47.436000,-1305.078345588297,107.6525220437866,1875.5032000827978,,328.0,11579.666666666666,100.0,0,12,8,87.38380621396605,0.015175960804681338,1,611.9733333333332,interpolation,0 days 00:00:00.910000,0.91,3167.436,1
2024-08-31 14:41:45.305,0 days 00:52:47.536000,-1296.0,211.0,1876.0,,329.0,11594.0,100.0,0,12,8,97.2388888888889,0.016887494724768463,1,612.54,interpolation,0 days 00:00:01.010000,1.01,3167.536,1
2024-08-31 14:41:45.405,0 days 00:52:47.636000,-1282.3308019475453,368.2832372567905,1876.5246548504895,,330.0,11630.5,100.0,0,12,8,104.3801924760105,0.018127726159264692,1,612.8712499999999,interpolation,0 days 00:00:01.110000,1.11,3167.636,1
2024-08-31 14:41:45.505,0 days 00:52:47.736000,-1269.0,522.0,1877.0,,331.0,11667.0,100.0,0,12,8,111.85805555555557,0.01942640793927409,1,613.2025,interpolation,0 days 00:00:01.210000,1.21,3167.736,1
2024-08-31 14:41:45.605,0 days 00:52:47.836000,-1260.9368427264308,614.6480544154703,1877.3488708142654,,331.5,11726.5,100.0,0,12,8,122.72281670774876,0.021313292895900705,1,613.6691666666667,interpolation,0 days 00:00:01.310000,1.31,3167.836,1
2024-08-31 14:41:45.705,0 days 00:52:47.936000,-1257.2953927697342,656.1453623983099,1877.6082461185022,,332.0,11786.0,100.0,0,12,8,133.9913888888889,0.023270307784070843,1,614.1358333333334,interpolation,0 days 00:00:01.410000,1.41,3167.936,1
2024-08-31 14:41:45.805,0 days 00:52:48.036000,-1253.0,706.0,1878.0,,332.75,11781.75,100.0,0,12,8,142.68068505527498,0.0247793793587108,1,614.1608333333334,interpolation,0 days 00:00:01.510000,1.51,3168.036,1
2024-08-31 14:41:45.905,0 days 00:52:48.136000,-1247.2047183976815,774.1300306760991,1878.56111166264,,333.5,11777.5,100.0,0,12,8,148.79070520690686,0.025840507619820572,1,614.1858333333334,interpolation,0 days 00:00:01.610000,1.61,3168.136,1
2024-08-31 14:41:46.005,0 days 00:52:48.236000,-1239.8968269532143,860.511424205526,1879.2703134414573,,334.25,11773.25,100.0,0,12,8,155.87606719952979,0.02707102366788256,1,614.2108333333334,interpolation,0 days 00:00:01.710000,1.71,3168.236,1
2024-08-31 14:41:46.105,0 days 00:52:48.336000,-1231.0,965.0,1880.0,,335.0,11769.0,100.0,0,12,8,167.49138888888888,0.029088258603379175,1,614.2358333333334,interpolation,0 days 00:00:01.810000,1.81,3168.336,1
