Date,SessionTime,X,Y,Z,Status,Speed,RPM,Throttle,Brake,DRS,nGear,Distance,RelativeDistance,DriverAhead,DistanceToDriverAhead,Source,Time,TimeSeconds,SessionTimeSeconds,DRSActive
2024-08-31 14:16:31.728,0 days 00:27:33.959000,-1363.7192270633286,-560.3402926928262,1871.8408899135497,,318.68,11304.6,100.0,0,8,8,-1.0749430889628393,-0.0001861895433046506,,913.0280555555555,interpolation,0 days 00:00:00,0.0,1653.959,0
2024-08-31 14:16:31.760,0 days 00:27:33.991000,-1361.0,-529.0,1872.0,,319.0,11307.0,100.0,0,14,8,2.9288888888888884,0.0005073091684681177,,913.0280555555555,car,0 days 00:00:00.032000,0.032,1653.991,1
2024-08-31 14:16:31.860,0 days 00:27:34.091000,-1353.7026471345926,-444.29038395004113,1872.4949250444388,,320.0,11377.0,100.0,0,14,8,17.06222222222222,0.002955326096736121,,913.0280555555555,interpolation,0 days 00:00:00.132000,0.132,1654.091,1
2024-08-31 14:16:31.960,0 days 00:27:34.191000,-1348.2070590255803,-379.44102386677633,1872.98646678517,,320.5,11413.5,100.0,0,14,8,27.026306773556833,0.004681192676195612,11,905.6391666666666,interpolation,0 days 00:00:00.232000,0.232,1654.191,1
2024-08-31 14:16:32.060,0 days 00:27:34.291000,-1342.6079414037777,-313.6211518501234,1873.4847751333164,,321.0,11450.0,100.0,0,14,8,34.89555555555556,0.0060442153812252306,11,898.2502777777777,interpolation,0 days 00:00:00.332000,0.332,1654.291,1
2024-08-31 14:16:32.160,0 days 00:27:34.391000,-1335.0,-226.0,1874.0,,322.3333333333333,11447.666666666666,100.0,0,12,8,43.95764824148597,0.0076138490817458425,11,890.1910185185184,interpolation,0 days 00:00:00.432000,0.432,1654.391,1
2024-08-31 14:16:32.260,0 days 00:27:34.491000,-1325.3832348142469,-116.5775683164062,1874.5321413852212,,323.6666666666667,11445.333333333334,100.0,0,12,8,54.004148466476884,0.009353990776601458,11,882.1317592592592,interpolation,0 days 00:00:00.532000,0.532,1654.491,1
2024-08-31 14:16:32.360,0 days 00:27:34.591000,-1316.0,-11.0,1875.0,,325.0,11443.0,100.0,0,12,8,63.784444444444446,0.011048023567936558,11,874.0724999999999,interpolation,0 days 00:00:00.632000,0.632,1654.591,1
2024-08-31 14:16:32.460,0 days 00:27:34.691000,-1309.092649710741,65.08656174856058,1875.3223765553566,,326.0,11498.5,100.0,0,12,8,73.09010194489494,0.012659844824287992,11,866.433611111111,interpolation,0 days 00:00:00.732000,0.732,1654.691,1
2024-08-31 14:16:32.560,0 days 00:27:34.791000,-1304.66118394647,111.68211692927554,1875.499271051291,,327.0,11554.0,100.0,0,12,8,81.95111111111112,0.014194649100733875,11,858.7947222222222,interpolation,0 days 00:00:00.832000,0.832,1654.791,1
2024-08-31 14:16:32.660,0 days 00:27:34.891000,-1300.149126208964,159.93661364535274,1875.67653002158,,327.25,11571.0,100.0,0,12,8,90.39746208637577,0.015657630952352328,11,851.8447222222221,interpolation,0 days 00:00:00.932000,0.932,1654.891,1
2024-08-31 14:16:32.760,0 days 00:27:34.991000,-1293.0,241.0,1876.0,,327.5,11588.0,100.0,0,12,8,98.42915487068893,0.017048790379143364,11,844.8947222222222,interpolation,0 days 00:00:01.032000,1.032,1654.991,1
2024-08-31 14:16:32.860,0 days 00:27:35.091000,-1283.2138053195781,354.8722759932174,1876.4696809865507,,327.75,11605.0,100.0,0,12,8,106.42182577521316,0.01843319087511155,11,837.9447222222223,interpolation,0 days 00:00:01.132000,1.132,1655.091,1
2024-08-31 14:16:32.960,0 days 00:27:35.191000,-1272.0,486.0,1877.0,,328.0,11622.0,100.0,0,12,8,114.7511111111111,0.019875895934261503,11,830.9947222222222,interpolation,0 days 00:00:01.232000,1.232,1655.191,1
2024-08-31 14:16:33.060,0 days 00:27:35.291000,-1260.568041873568,618.8297303953432,1877.5053840591172,,329.0,11619.0,100.0,0,12,8,123.41701087838275,0.021376905556593207,11,823.1891666666667,interpolation,0 days 00:00:01.332000,1.332,1655.291,1
2024-08-31 14:16:33.160,0 days 00:27:35.391000,-1250.0,741.0,1878.0,,330.0,11616.0,100.0,0,12,8,133.08444444444444,0.023051389591212924,11,815.3836111111111,interpolation,0 days 00:00:01.432000,1.432,1655.391,1
2024-08-31 14:16:33.260,0 days 00:27:35.491000,-1241.3779434390142,840.1493416347237,1878.498014658748,,331.0,11661.0,100.0,0,12,8,144.41833117671257,0.025014517887226924,11,805.9502777777777,interpolation,0 days 00:00:01.532000,1.532,1655.491,1
2024-08-31 14:16:33.360,0 days 00:27:35.591000,-1234.701872190611,916.2777552995149,1878.9994280353617,,332.0,11706.0,100.0,0,12,8,155.21777777777777,0.02688507647887791,11,796.5169444444444,interpolation,0 days 00:00:01.632000,1.632,1655.591,1
2024-08-31 14:16:33.460,0 days 00:27:35.691000,-1228.924864846902,982.7672913145483,1879.501127394294,,332.3333333333333,11733.666666666666,100.0,0,12,8,163.28189095023066,0.028281851400408595,11,790.2280555555556,interpolation,0 days 00:00:01.732000,1.732,1655.691,1
2024-08-31 14:16:33.560,0 days 00:27:35.791000,-1223.0,1053.0,1880.0,,332.6666666666667,11761.333333333334,100.0,0,12,8,169.30107508953603,0.029324426730647876,11,783.9391666666667,interpolation,0 days 00:00:01.832000,1.832,1655.791,1
2024-08-31 14:16:33.660,0 days 00:27:35.891000,-1216.9272776499051,1126.97588135587,1880.4960458524788,,333.0,11789.0,100.0,0,12,8,177.41777777777776,0.030730310616204536,11,777.6502777777778,interpolation,0 days 00:00:01.932000,1.932,1655.891,1
2024-08-31 14:16:33.760,0 days 00:27:35.991000,-1210.0,1210.0,1881.0,,333.0,11789.5,100.0,0,12,8,188.3224104801978,0.032619088360454705,11,768.3169444444445,interpolation,0 days 00:00:02.032000,2.032,1655.991,1
2024-08-31 14:16:33.860,0 days 00:27:36.091000,-1201.5114692536695,1307.3774205502327,1881.522597490834,,333.0,11790.0,100.0,0,12,8,199.61777777777775,0.03457554475353116,11,758.9836111111111,interpolation,0 days 00:00:02.132000,2.132,1656.091,1
2024-08-31 14:16:33.960,0 days 00:27:36.191000,-1193.0,1404.0,1882.0,,334.0,11802.0,100.0,0,12,8,208.9066842514993,0.03618446458556668,11,751.233611111111,interpolation,0 days 00:00:02.232000,2.232,1656.191,1
2024-08-31 14:16:34.060,0 days 00:27:36.291000,-1186.003906828078,1484.7595953427337,1882.3683692025188,,335.0,11814.0,100.0,0,12,8,218.2288888888889,0.03779915195073943,11,743.483611111111,interpolation,0 days 00:00:02.332000,2.332,1656.291,1
2024-08-31 14:16:34.160,0 days 00:27:36.391000,-1180.1278745617535,1553.8017664607523,1882.652370826685,,335.5,11850.5,100.0,0,12,8,229.62415067747293,0.03977291094322759,11,734.1836111111111,interpolation,0 days 00:00:02.432000,2.432,1656.391,1
2024-08-31 14:16:34.260,0 days 00:27:36.491000,-1173.0,1636.0,1883.0,,336.0,11887.0,100.0,0,12,8,240.62888888888887,0.04167902783705098,11,724.8836111111111,interpolation,0 days 00:00:02.532000,2.532,1656.491,1
2024-08-31 14:16:34.360,0 days 00:27:36.591000,-1164.2249639186198,1735.4998982935465,1883.4359227033372,,336.3333333333333,11895.666666666666,100.0,0,12,8,248.77952279477415,0.043090788906229444,11,718.7947222222223,interpolation,0 days 00:00:02.632000,2.632,1656.591,1
2024-08-31 14:16:34.460,0 days 00:27:36.691000,-1155.0,1841.0,1884.0,,336.6666666666667,11904.333333333334,100.0,0,12,8,254.8068413190579,0.044134773183081566,11,712.7058333333333,interpolation,0 days 00:00:02.732000,2.732,1656.691,1
2024-08-31 14:16:34.560,0 days 00:27:36.791000,-1146.5223419265296,1941.1988437779696,1884.7320929532923,,337.0,11913.0,100.0,0,12,8,263.09555555555556,0.045570450973024174,11,706.6169444444445,interpolation,0 days 00:00:02.832000,2.832,1656.791,1
2024-08-31 14:16:34.660,0 days 00:27:36.891000,-1138.5,2037.0,1885.5,,337.5,11919.5,100.0,0,12,8,274.3764469449561,0.047524400012213225,11,697.6836111111111,interpolation,0 days 00:00:02.932000,2.932,1656.891,1
2024-08-31 14:16:34.760,0 days 00:27:36.991000,-1130.640984522202,2129.3070390386365,1886.1715195769077,,338.0,11926.0,100.0,0,12,8,285.6288888888889,0.049473421358659016,11,688.7502777777777,interpolation,0 days 00:00:03.032000,3.032,1656.991,1
2024-08-31 14:16:34.860,0 days 00:27:37.091000,-1122.8994139017714,2218.7378779401693,1886.72160756283,,338.0,11938.333333333334,100.0,0,12,8,293.8322547889836,0.05089431607037187,11,682.883611111111,interpolation,0 days 00:00:03.132000,3.132,1657.091,1
