Date,SessionTime,X,Y,Z,Status,Speed,RPM,Throttle,Brake,DRS,nGear,Distance,RelativeDistance,DriverAhead,DistanceToDriverAhead,Source,Time,TimeSeconds,SessionTimeSeconds,DRSActive
2024-08-31 14:41:37.846,0 days 00:52:40.077000,-1368.5258476177778,-614.0794732364286,1871.149095904888,OnTrack,322.38000128,11455.873332906667,100.0,0,8,8,10.597015107039795,0.0018376880914300813,,497.33972222222224,interpolation,0 days 00:00:00,0.0,3160.077,0
2024-08-31 14:41:37.908,0 days 00:52:40.139000,-1364.4735885343598,-563.3482005331236,1871.4504080364868,OnTrack,323.0,11455.666666666666,100.0,0,8,8,15.386800761195168,0.002668311806526661,,497.33972222222224,interpolation,0 days 00:00:00.062000,0.062,3160.139,0
2024-08-31 14:41:38.008,0 days 00:52:40.239000,-1358.0,-484.0,1872.0,OnTrack,324.0,11455.333333333334,100.0,0,14,8,21.41195179812069,0.0037131671924805864,,497.33972222222224,interpolation,0 days 00:00:00.162000,0.162,3160.239,1
2024-08-31 14:41:38.108,0 days 00:52:40.339000,-1351.7285963943546,-411.58489706782024,1872.5227557993223,OnTrack,325.0,11455.0,100.0,0,14,8,28.788611111111116,0.004992395242746722,,497.33972222222224,interpolation,0 days 00:00:00.262000,0.262,3160.339,1
2024-08-31 14:41:38.208,0 days 00:52:40.439000,-1345.6593777174241,-346.1028917365844,1873.0186754344536,OnTrack,325.75,11485.25,100.0,0,14,8,38.11531122831778,0.0066097908550587295,,497.88972222222225,interpolation,0 days 00:00:00.362000,0.362,3160.439,1
2024-08-31 14:41:38.308,0 days 00:52:40.539000,-1338.760470181781,-272.8194405370563,1873.5052573523578,OnTrack,326.5,11515.5,100.0,0,12,8,49.39205214974069,0.008565354029416612,11,498.43972222222226,interpolation,0 days 00:00:00.462000,0.462,3160.539,1
2024-08-31 14:41:38.408,0 days 00:52:40.639000,-1330.0,-177.0,1874.0,OnTrack,327.25,11545.75,100.0,0,12,8,60.38929477407103,0.010472447829431448,11,498.9897222222222,pos,0 days 00:00:00.562000,0.562,3160.639,1
2024-08-31 14:41:38.508,0 days 00:52:40.739000,-1319.37796717208,-58.64457012541544,1874.5029033773799,OnTrack,328.0,11576.0,100.0,0,12,8,68.8775,0.011944435318714327,11,499.5397222222222,interpolation,0 days 00:00:00.662000,0.662,3160.739,1
2024-08-31 14:41:38.608,0 days 00:52:40.839000,-1309.0,58.0,1875.0,OnTrack,329.0,11581.5,100.0,0,12,8,74.85666782752759,0.012981316497265246,11,499.8930555555555,interpolation,0 days 00:00:00.762000,0.762,3160.839,1
2024-08-31 14:41:38.708,0 days 00:52:40.939000,-1300.9717267857388,148.68686128954894,1875.4773223833643,OnTrack,330.0,11587.0,100.0,0,12,8,83.4525,0.014471968181699503,11,500.2463888888889,interpolation,0 days 00:00:00.862000,0.862,3160.939,1
2024-08-31 14:41:38.808,0 days 00:52:41.039000,-1293.0,240.0,1876.0,OnTrack,330.0,11691.0,100.0,0,12,8,98.11916666666667,0.017015397477785212,11,501.0019444444444,interpolation,0 days 00:00:00.962000,0.962,3161.039,1
2024-08-31 14:41:38.908,0 days 00:52:41.139000,-1282.7916721134875,358.5234023881218,1876.6331623224355,OnTrack,330.5,11695.0,100.0,0,12,8,108.82752961222201,0.0188723950252064,11,501.4463888888889,interpolation,0 days 00:00:01.062000,1.062,3161.139,1
2024-08-31 14:41:39.008,0 days 00:52:41.239000,-1270.8283844779553,498.4569773408064,1877.3511493177334,OnTrack,331.0,11699.0,100.0,0,12,8,116.50805555555556,0.020204318299771463,11,501.8908333333334,interpolation,0 days 00:00:01.162000,1.162,3161.239,1
2024-08-31 14:41:39.108,0 days 00:52:41.339000,-1260.0,625.0,1878.0,OnTrack,331.5,11733.0,100.0,0,12,8,123.76272569325786,0.02146239151988534,11,502.22416666666663,interpolation,0 days 00:00:01.262000,1.262,3161.339,1
2024-08-31 14:41:39.208,0 days 00:52:41.439000,-1250.7881649634087,732.3523198593576,1878.554054073538,OnTrack,332.0,11767.0,100.0,0,12,8,131.26361111111112,0.02276316231886375,11,502.5574999999999,interpolation,0 days 00:00:01.362000,1.362,3161.439,1
2024-08-31 14:41:39.308,0 days 00:52:41.539000,-1243.1928793681814,820.5139369188793,1879.0133115383483,OnTrack,332.5,11782.0,100.0,0,12,8,139.68278289489754,0.024223178330022428,11,502.918611111111,interpolation,0 days 00:00:01.462000,1.462,3161.539,1
2024-08-31 14:41:39.408,0 days 00:52:41.639000,-1237.0098912817093,891.8906584724056,1879.3848801941003,OnTrack,333.0,11797.0,100.0,0,12,8,149.0202410446172,0.025842439553361376,11,503.2797222222221,interpolation,0 days 00:00:01.562000,1.562,3161.639,1
2024-08-31 14:41:39.508,0 days 00:52:41.739000,-1231.013682833702,960.9174021896349,1879.7114070571663,OnTrack,333.5,11812.0,100.0,0,12,8,158.75716200536155,0.027530973873263302,11,503.64083333333326,interpolation,0 days 00:00:01.662000,1.662,3161.739,1
2024-08-31 14:41:39.608,0 days 00:52:41.839000,-1225.0,1030.0,1880.0,OnTrack,334.0,11827.0,100.0,0,12,8,168.37472222222223,0.029198809174110926,11,504.00194444444435,interpolation,0 days 00:00:01.762000,1.762,3161.839,1
2024-08-31 14:41:39.708,0 days 00:52:41.939000,-1218.9688427806036,1099.1384519035012,1880.2506590226014,OnTrack,334.5,11823.5,100.0,0,12,8,177.87292169519915,0.03084594545590424,11,504.3352777777777,interpolation,0 days 00:00:01.862000,1.862,3161.939,1
2024-08-31 14:41:39.808,0 days 00:52:42.039000,-1212.920211175513,1168.3327579001389,1880.463384124971,OnTrack,335.0,11820.0,100.0,0,12,8,186.98583333333332,0.03242626680361362,11,504.6686111111111,interpolation,0 days 00:00:01.962000,1.962,3162.039,1
2024-08-31 14:41:39.908,0 days 00:52:42.139000,-1206.911473982666,1237.860684946707,1880.6944171648552,OnTrack,335.3333333333333,11827.333333333334,100.0,0,12,8,195.44753004566581,0.033893657302209425,11,504.92787037037033,interpolation,0 days 00:00:02.062000,2.062,3162.139,1
2024-08-31 14:41:40.008,0 days 00:52:42.239000,-1201.0,1308.0,1881.0,OnTrack,335.6666666666667,11834.666666666666,100.0,0,12,8,203.5582226317727,0.03530017819778098,11,505.1871296296295,interpolation,0 days 00:00:02.162000,2.162,3162.239,1
